ReviewID	SentenceID	Text	Tokens
1	1_0	the first room that they had us in had wet carpet so I am thinking something bad was on the carpet an they cleaned it before we got there but it was soaking wet in a large area.	["the","first","room","that","they","had","us","in","had","wet","carpet","so","I","am","thinking","something","bad","was","on","the","carpet","an","they","cleaned","it","before","we","got","there","but","it","was","soaking","wet","in","a","large","area","."]
1	1_1	The next room reeked of cigar smoke and had a huge air cleaning machine running in it.	["The","next","room","reeked","of","cigar","smoke","and","had","a","huge","air","cleaning","machine","running","in","it","."]
1	1_2	Finally we got a remodeled room which was good but those not remodeled are are dirty looking and furniture is stained and filthy.	["Finally","we","got","a","remodeled","room","which","was","good","but","those","not","remodeled","are","are","dirty","looking","and","furniture","is","stained","and","filthy","."]
1	1_3	I guess what happens in Vegas...	["I","guess","what","happens","in","Vegas","..."]
1	1_4	happens in the bedroom and stays there.	["happens","in","the","bedroom","and","stays","there","."]
1	1_6	The staff was great; the elevators were fast ( no waiting), lobby impressive, bathrooms nice.	["The","staff","was","great",";","the","elevators","were","fast","(","no","waiting",")",",","lobby","impressive",",","bathrooms","nice","."]
2	2_0	I would stay at The Palazzo next time, since they are connected.	["I","would","stay","at","The","Palazzo","next","time",",","since","they","are","connected","."]
2	2_1	I liked my experience better there than The Venetian.	["I","liked","my","experience","better","there","than","The","Venetian","."]
3	3_0	Been to Vegas 5 times now and definitely impressed from the outset.	["Been","to","Vegas","5","times","now","and","definitely","impressed","from","the","outset","."]
3	3_1	Staff at check in were extremely pleasant and helpful.	["Staff","at","check","in","were","extremely","pleasant","and","helpful","."]
3	3_2	We had a room in the Venezia Tower which was quite a walk every morning and evening.	["We","had","a","room","in","the","Venezia","Tower","which","was","quite","a","walk","every","morning","and","evening","."]
3	3_3	This did not bother us one bit as the interior decor is amazing and makes a pleasant stroll to the pools and after an evening out.	["This","did","not","bother","us","one","bit","as","the","interior","decor","is","amazing","and","makes","a","pleasant","stroll","to","the","pools","and","after","an","evening","out","."]
3	3_4	Pool was excellent and clean.	["Pool","was","excellent","and","clean","."]
3	3_5	Pool bar was brilliant with helpful and friendly staff.	["Pool","bar","was","brilliant","with","helpful","and","friendly","staff","."]
3	3_6	Multiple large screen TVs above the bar for the sport lovers!	["Multiple","large","screen","TVs","above","the","bar","for","the","sport","lovers","!"]
3	3_8	Tao pool club is just off the main pool itself and the music will be heard from the main pool area.	["Tao","pool","club","is","just","off","the","main","pool","itself","and","the","music","will","be","heard","from","the","main","pool","area","."]
3	3_9	I quite enjoyed the music and the atmosphere the came with it.	["I","quite","enjoyed","the","music","and","the","atmosphere","the","came","with","it","."]
3	3_10	As always plenty of places to eat in and around the hotel.	["As","always","plenty","of","places","to","eat","in","and","around","the","hotel","."]
3	3_11	The best Vegas hotel I have stayed in yet...	["The","best","Vegas","hotel","I","have","stayed","in","yet","..."]
4	4_0	Very nice, the room was comfortable, and clean.	["Very","nice",",","the","room","was","comfortable",",","and","clean","."]
4	4_1	The amenities were great, the pool was clean and very pretty setting.	["The","amenities","were","great",",","the","pool","was","clean","and","very","pretty","setting","."]
4	4_2	So many restaurants to choice from, and friendly staff.	["So","many","restaurants","to","choice","from",",","and","friendly","staff","."]
5	5_0	Very very great I like it	["Very","very","great","I","like","it"]
8	8_0	Great experience- spouse first time going to Vegas and she was so impressed with the hotel.	["Great","experience","-","spouse","first","time","going","to","Vegas","and","she","was","so","impressed","with","the","hotel","."]
8	8_1	She felt it was visually attractive, clean, roomy.	["She","felt","it","was","visually","attractive",",","clean",",","roomy","."]
8	8_2	If you want to impress a first timer, start with the Venetian hotel!	["If","you","want","to","impress","a","first","timer",",","start","with","the","Venetian","hotel","!"]
9	9_0	Except for the fact that yoi can't use the fridge while they charge you the resort fee a really good experience with very friendly staff, good restaurants and shopping options.	["Except","for","the","fact","that","yoi","ca","n't","use","the","fridge","while","they","charge","you","the","resort","fee","a","really","good","experience","with","very","friendly","staff",",","good","restaurants","and","shopping","options","."]
10	10_0	Outstanding hotel, great service, but the electric walkers were not operational.	["Outstanding","hotel",",","great","service",",","but","the","electric","walkers","were","not","operational","."]
11	11_0	I like this hotel as you get the feeling that you are in Italy.	["I","like","this","hotel","as","you","get","the","feeling","that","you","are","in","Italy","."]
11	11_1	Great attention to detail.	["Great","attention","to","detail","."]
11	11_2	Good location and many great restaurants.	["Good","location","and","many","great","restaurants","."]
13	13_3	This place is so beautiful.	["This","place","is","so","beautiful","."]
13	13_4	I will return here for sure.	["I","will","return","here","for","sure","."]
17	17_0	We had a great stay here!	["We","had","a","great","stay","here","!"]
17	17_1	The room was beautiful, clean and comfortable.	["The","room","was","beautiful",",","clean","and","comfortable","."]
17	17_2	Staff was very courteous.	["Staff","was","very","courteous","."]
17	17_3	The only issue we had was getting charged over $60 for the mini bar when we were extra careful to not even touch it.	["The","only","issue","we","had","was","getting","charged","over","60","for","the","mini","bar","when","we","were","extra","careful","to","not","even","touch","it","."]
17	17_4	I had to call and get it reversed and the operator made me feel like I was not honest and said they will reverse the charges just this one time.	["I","had","to","call","and","get","it","reversed","and","the","operator","made","me","feel","like","I","was","not","honest","and","said","they","will","reverse","the","charges","just","this","one","time","."]
18	18_0	The Venetian is spectacular.	["The","Venetian","is","spectacular","."]
18	18_1	Everywhere you look, there is something visually interesting going on.	["Everywhere","you","look",",","there","is","something","visually","interesting","going","on","."]
18	18_2	Our room (the luxury suite) was gorgeous - very roomy and comfortable.	["Our","room","(","the","luxury","suite",")","was","gorgeous","-","very","roomy","and","comfortable","."]
18	18_3	The bath was just the right size for lounging!	["The","bath","was","just","the","right","size","for","lounging","!"]
18	18_4	The Grand Lux Cafe really does have something for everyone, is reasonably affordable, and has excellent service.	["The","Grand","Lux","Cafe","really","does","have","something","for","everyone",",","is","reasonably","affordable",",","and","has","excellent","service","."]
